"ANIO","CVE_MES","CVE_ENT","INDICADOR"
2017,10,13,3
2018,10,13,1
2019,10,13,2
2020,10,13,1
2021,10,13,1
2015,11,13,0
2016,11,13,3
2017,11,13,4
2018,11,13,1
2019,11,13,1
2020,11,13,0
2021,11,13,3
2015,12,13,0
2016,12,13,1
2017,12,13,2
2018,12,13,0
2019,12,13,2
2020,12,13,2
2021,12,13,1
2015,1,14,4
2016,1,14,2
2017,1,14,1
2018,1,14,5
2019,1,14,5
2020,1,14,4
2021,1,14,4
2022,1,14,5
2015,2,14,5
2016,2,14,7
2017,2,14,0
2018,2,14,5
2019,2,14,7
2020,2,14,3
2021,2,14,7
2022,2,14,3
2015,3,14,8
2016,3,14,6
2017,3,14,1
2018,3,14,3
2019,3,14,5
2020,3,14,6
2021,3,14,8
2022,3,14,3
2015,4,14,2
2016,4,14,6
2017,4,14,3
2018,4,14,4
2019,4,14,3
2020,4,14,8
2021,4,14,9
2022,4,14,1
2015,5,14,2
2016,5,14,3
2017,5,14,3
2018,5,14,2
2019,5,14,4
2020,5,14,6
2021,5,14,14
2022,5,14,3
2015,6,14,5
2016,6,14,2
2017,6,14,0
2018,6,14,2
2019,6,14,4
2020,6,14,3
2021,6,14,8
2022,6,14,2
2015,7,14,5
2016,7,14,4
2017,7,14,4
2018,7,14,3
2019,7,14,6
2020,7,14,2
2021,7,14,1
2015,8,14,5
2016,8,14,3
2017,8,14,2
2018,8,14,0
2019,8,14,7
2020,8,14,4
2021,8,14,6
2015,9,14,6
2016,9,14,5
2017,9,14,2
2018,9,14,2
2019,9,14,4
2020,9,14,5
2021,9,14,2
2015,10,14,8
2016,10,14,3
2017,10,14,4
2018,10,14,0
2019,10,14,6
2020,10,14,9
2021,10,14,4
2015,11,14,7
2016,11,14,2
2017,11,14,1
2018,11,14,2
2019,11,14,5
2020,11,14,6
2021,11,14,4
2015,12,14,5
2016,12,14,5
2017,12,14,6
2018,12,14,5
2019,12,14,9
2020,12,14,12
2021,12,14,6
2015,1,15,8
2016,1,15,3
2017,1,15,4
2018,1,15,6
2019,1,15,9
2020,1,15,5
2021,1,15,11
2022,1,15,14
2015,2,15,5
2016,2,15,4
2017,2,15,13
2018,2,15,5
2019,2,15,7
2020,2,15,14
2021,2,15,15
2022,2,15,8
2015,3,15,5
2016,3,15,8
2017,3,15,6
2018,3,15,2
2019,3,15,6
2020,3,15,12
2021,3,15,11
2022,3,15,17
2015,4,15,3
2016,4,15,6
2017,4,15,7
2018,4,15,7
2019,4,15,7
2020,4,15,6
2021,4,15,14
2022,4,15,11
2015,5,15,5
2016,5,15,5
2017,5,15,4
2018,5,15,11
2019,5,15,10
2020,5,15,12
2021,5,15,11
2022,5,15,12
2015,6,15,4
2016,6,15,9
2017,6,15,5
2018,6,15,10
2019,6,15,5
2020,6,15,14
2021,6,15,6
2022,6,15,14
2015,7,15,4
2016,7,15,4
2017,7,15,9
2018,7,15,16
2019,7,15,13
2020,7,15,19
2021,7,15,12
2015,8,15,9
2016,8,15,6
2017,8,15,4
2018,8,15,11
2019,8,15,11
2020,8,15,17
2021,8,15,19
2015,9,15,6
2016,9,15,4
2017,9,15,3
2018,9,15,5
2019,9,15,13
2020,9,15,9
2021,9,15,13
2015,10,15,7
2016,10,15,4
2017,10,15,4
2018,10,15,14
2019,10,15,11
2020,10,15,14
2021,10,15,8
2015,11,15,2
2016,11,15,2
2017,11,15,6
2018,11,15,14
2019,11,15,14
2020,11,15,15
2021,11,15,12
2015,12,15,2
